Row : 1, Col : 1, Slice : 1
PPMScale,Data,Fit,Baseline,Ala,Asp,Cr,-CrCH2,GABA,Glc,Gln,Glu,GPC,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau
24.2406,47229.2,29879.4,-116960,879.882,1247.41,5.62057,-0.244599,702.391,2895.2,4113.45,9226.42,3215.85,0.715006,4379.61,0,0.100396,4.54747e-12,0.847746,0,1.00044e-11,4.37694e-12,2.55795e-12,5.45697e-12,2614.66,595.155,0.854213,0,1.48154,0.0444456,0
24.2358,-316177,29878.8,-115484,879.885,1247.35,5.62012,-0.244588,702.328,2895.17,4113.35,9226.2,3215.8,0.714965,4379.52,0,0.100371,4.59588e-12,0.847568,0,1.56533e-11,7.75113e-12,3.27249e-12,2.2693e-12,2614.66,595.107,0.854072,0,1.48143,0.044442,0
24.231,-135984,29878.1,-114008,879.887,1247.29,5.61966,-0.244577,702.266,2895.14,4113.26,9225.98,3215.75,0.714925,4379.43,0,0.100347,5.94547e-12,0.847391,0,4.55316e-11,9.80016e-12,2.48868e-12,1.04237e-11,2614.66,595.059,0.853931,0,1.48131,0.0444384,0
24.2263,-103225,29877.5,-112532,879.89,1247.23,5.61921,-0.244566,702.204,2895.11,4113.17,9225.76,3215.69,0.714885,4379.35,0,0.100322,6.5592e-12,0.847213,0,5.96359e-11,9.92983e-12,3.11307e-12,1.17453e-11,2614.66,595.011,0.853791,0,1.4812,0.0444348,0
24.2215,69176.8,29876.8,-111056,879.892,1247.17,5.61876,-0.244556,702.142,2895.08,4113.07,9225.54,3215.64,0.714846,4379.26,0,0.100297,7.24842e-12,0.847037,0,5.57776e-11,9.59766e-12,6.03961e-13,9.83391e-12,2614.66,594.964,0.853651,0,1.48108,0.0444312,0
24.2167,-160580,29876.2,-109580,879.895,1247.11,5.61832,-0.244545,702.079,2895.05,4112.98,9225.33,3215.59,0.714806,4379.17,0,0.100273,7.59659e-12,0.84686,0,5.01785e-11,1.00506e-11,2.28084e-12,1.28004e-11,2614.66,594.916,0.853511,0,1.48097,0.0444277,0
24.2119,112007,29875.5,-108104,879.897,1247.05,5.61787,-0.244535,702.017,2895.02,4112.89,9225.11,3215.53,0.714767,4379.09,0,0.100248,8.10729e-12,0.846684,0,7.22622e-11,7.90479e-12,1.49747e-12,1.38414e-11,2614.66,594.868,0.853372,0,1.48086,0.0444241,0
24.2071,-184937,29874.9,-106628,879.9,1247,5.61743,-0.244524,701.955,2894.99,4112.79,9224.89,3215.48,0.714728,4379,0,0.100224,8.40394e-12,0.846508,0,5.80371e-11,1.01252e-11,1.23279e-12,1.64633e-11,2614.66,594.82,0.853232,0,1.48074,0.0444206,0
24.2024,93876.4,29874.2,-105152,879.902,1246.94,5.61699,-0.244514,701.893,2894.96,4112.7,9224.67,3215.43,0.714689,4378.91,0,0.100199,1.03064e-11,0.846332,0,6.95763e-11,1.02425e-11,1.38911e-12,2.06271e-11,2614.66,594.772,0.853093,0,1.48063,0.0444171,0
24.1976,-159407,29873.6,-103677,879.905,1246.88,5.61655,-0.244504,701.831,2894.93,4112.61,9224.45,3215.37,0.714651,4378.83,0,0.100175,9.78595e-12,0.846157,0,6.35794e-11,1.10028e-11,1.58806e-12,1.99307e-11,2614.66,594.724,0.852955,0,1.48052,0.0444136,0
24.1928,57192.9,29873,-102201,879.907,1246.82,5.61611,-0.244494,701.768,2894.9,4112.52,9224.23,3215.32,0.714613,4378.74,0,0.10015,1.03011e-11,0.845981,0,7.06279e-11,1.04876e-11,1.90425e-12,2.74483e-11,2614.66,594.676,0.852816,0,1.48041,0.0444101,0
24.188,-120498,29872.3,-100725,879.91,1246.76,5.61567,-0.244483,701.706,2894.87,4112.42,9224.02,3215.26,0.714574,4378.65,0,0.100126,1.07399e-11,0.845807,0,6.83542e-11,9.93339e-12,4.90274e-13,1.97389e-11,2614.66,594.628,0.852678,0,1.4803,0.0444067,0
24.1832,55184.7,29871.7,-99248.9,879.912,1246.7,5.61524,-0.244473,701.644,2894.84,4112.33,9223.8,3215.21,0.714537,4378.57,0,0.100102,1.06937e-11,0.845632,0,6.67058e-11,8.27072e-12,2.70717e-12,2.36184e-11,2614.66,594.581,0.852541,0,1.48018,0.0444032,0
24.1785,-178224,29871,-97773.1,879.915,1246.64,5.6148,-0.244463,701.582,2894.81,4112.24,9223.58,3215.16,0.714499,4378.48,0,0.100078,1.02922e-11,0.845458,0,5.60192e-11,8.81784e-12,2.99138e-12,2.27658e-11,2614.66,594.533,0.852403,0,1.48007,0.0443998,0
24.1737,33643.2,29870.4,-96297.2,879.917,1246.59,5.61437,-0.244453,701.52,2894.78,4112.14,9223.36,3215.1,0.714461,4378.4,0,0.100053,1.10703e-11,0.845284,0,4.91127e-11,8.83915e-12,2.03926e-12,2.55795e-11,2614.66,594.485,0.852266,0,1.47996,0.0443963,0
