Row : 1, Col : 1, Slice : 1
PPMScale,Data,Fit,Baseline,Ala,Asp,Cr,-CrCH2,GABA,Glc,Gln,Glu,GPC,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau
24.2513,6265.72,13254.4,53151.8,90.1178,175.442,5.31355,-0.823484,202.674,1811.6,898.232,4794.65,1337.25,0.0536209,2103.92,52.4318,3.80851e-12,2.59206e-11,-7.75913e-12,0,-7.18501e-11,1.37561e-11,-1.63709e-11,0.485205,898.01,884.563,0.185135,0,0.346079,0,0
24.2465,132944,13254.1,53096.5,90.1181,175.433,5.31312,-0.823445,202.656,1811.58,898.211,4794.53,1337.22,0.0536178,2103.87,52.4315,5.51648e-12,2.61329e-11,8.07354e-13,0,-7.17648e-11,1.42157e-11,-1.46505e-11,0.485112,898.01,884.492,0.185105,0,0.346051,0,0
24.2418,123738,13253.8,53041.3,90.1184,175.425,5.3127,-0.823407,202.638,1811.56,898.191,4794.42,1337.2,0.0536149,2103.83,52.4313,3.77209e-12,1.81943e-11,1.20952e-11,0,-8.52864e-11,1.63602e-11,-1.90337e-11,0.485019,898.01,884.421,0.185074,0,0.346024,0,0
24.237,135789,13253.5,52986,90.1186,175.417,5.31228,-0.823369,202.62,1811.54,898.171,4794.3,1337.18,0.0536118,2103.79,52.431,4.56879e-12,1.63833e-11,2.29345e-11,0,-8.77272e-11,1.84457e-11,-1.96554e-11,0.484926,898.01,884.35,0.185044,0,0.345997,0,0
24.2322,-25363.4,13253.2,52930.8,90.1189,175.409,5.31186,-0.823332,202.602,1811.53,898.15,4794.19,1337.16,0.053609,2103.75,52.4307,1.668e-12,1.51843e-11,3.67333e-11,0,-7.77334e-11,1.91767e-11,-1.85345e-11,0.484834,898.01,884.279,0.185013,0,0.345969,0,0
24.2274,175207,13252.9,52875.5,90.1191,175.4,5.31144,-0.823295,202.584,1811.51,898.13,4794.08,1337.14,0.0536059,2103.71,52.4305,2.37677e-12,9.34719e-12,4.82974e-11,0,-8.81357e-11,2.15685e-11,-2.15969e-11,0.484741,898.01,884.208,0.184984,0,0.345942,0,0
24.2226,16437.2,13252.6,52820.3,90.1194,175.392,5.31102,-0.823257,202.566,1811.49,898.11,4793.96,1337.11,0.0536031,2103.67,52.4302,1.00542e-12,7.60281e-12,5.42517e-11,0,-8.43983e-11,2.17959e-11,-1.98952e-11,0.484649,898.01,884.137,0.184953,0,0.345915,0,0
24.2179,95770.6,13252.2,52765.1,90.1197,175.384,5.31061,-0.823221,202.548,1811.47,898.089,4793.85,1337.09,0.0536001,2103.62,52.43,-1.1795e-12,4.66827e-12,6.02238e-11,0,-9.08642e-11,2.1263e-11,-1.67759e-11,0.484557,898.01,884.066,0.184923,0,0.345889,0,0
24.2131,-1786.96,13251.9,52709.8,90.1199,175.376,5.31019,-0.823184,202.53,1811.45,898.069,4793.74,1337.07,0.0535973,2103.58,52.4297,-6.82121e-13,-1.46372e-12,6.05773e-11,0,-1.01494e-10,2.17586e-11,-2.21831e-11,0.484465,898.01,883.996,0.184893,0,0.345862,0,0
24.2083,74686.9,13251.6,52654.6,90.1202,175.368,5.30978,-0.823148,202.512,1811.43,898.049,4793.62,1337.05,0.0535943,2103.54,52.4294,-1.55609e-12,-3.34666e-12,5.78488e-11,0,-9.36495e-11,2.34834e-11,-1.92273e-11,0.484373,898.01,883.925,0.184863,0,0.345835,0,0
24.2035,109208,13251.3,52599.3,90.1204,175.359,5.30937,-0.823112,202.494,1811.41,898.029,4793.51,1337.03,0.0535916,2103.5,52.4292,-2.98428e-13,-6.64357e-12,5.18394e-11,0,-9.79696e-11,2.36433e-11,-2.11458e-11,0.484281,898.01,883.854,0.184833,0,0.345808,0,0
24.1988,114787,13251,52544.1,90.1207,175.351,5.30896,-0.823076,202.476,1811.39,898.008,4793.4,1337,0.0535886,2103.46,52.4289,-3.05889e-12,-8.36309e-12,4.34888e-11,0,-8.49099e-11,2.20517e-11,-2.00728e-11,0.48419,898.01,883.783,0.184803,0,0.345782,0,0
24.194,43263.4,13250.7,52488.8,90.121,175.343,5.30855,-0.82304,202.458,1811.38,897.988,4793.28,1336.98,0.0535859,2103.42,52.4286,-1.91136e-12,-1.54756e-11,2.96119e-11,0,-9.40759e-11,2.23572e-11,-2.25171e-11,0.484099,898.01,883.712,0.184773,0,0.345756,0,0
