Row : 1, Col : 1, Slice : 1
PPMScale,Data,Fit,Baseline,Ala,Asp,Cr,-CrCH2,GABA,Glc,Gln,Glu,GPC,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau
24.2417,31212.3,13524,-19747.5,0,624.942,3.44749,-1.16241,241.728,2947.53,950.081,4483.61,1036.21,0,1550.09,65.9027,0.0365411,-9.66338e-13,0,0,-7.13953e-11,0.291906,0.338812,-1.16529e-12,977.62,640.601,1.61291,0,1.12214,0.033393,0
24.2369,-27244.3,13523.7,-19787.8,0,624.912,3.44722,-1.16236,241.707,2947.5,950.06,4483.5,1036.2,0,1550.06,65.9024,0.0365321,-4.17888e-13,0,0,-7.82068e-11,0.291844,0.338741,-2.38742e-12,977.62,640.549,1.61265,0,1.12206,0.0333903,0
24.2322,21174.2,13523.4,-19828.2,0,624.883,3.44695,-1.16231,241.685,2947.47,950.038,4483.4,1036.18,0,1550.03,65.902,0.0365231,-5.22249e-13,0,0,-7.50049e-11,0.291782,0.338671,-2.54463e-12,977.62,640.498,1.61238,0,1.12197,0.0333876,0
24.2274,64447.8,13523.1,-19868.5,0,624.854,3.44668,-1.16226,241.664,2947.44,950.017,4483.29,1036.16,0,1550,65.9017,0.0365141,2.27374e-12,0,0,-8.10552e-11,0.291721,0.338601,-8.20677e-13,977.62,640.447,1.61212,0,1.12188,0.0333849,0
24.2226,-77929.6,13522.8,-19908.8,0,624.824,3.4464,-1.16221,241.642,2947.41,949.995,4483.19,1036.15,0,1549.97,65.9014,0.0365051,1.59162e-12,0,0,-7.47278e-11,0.291659,0.338531,-1.83142e-12,977.62,640.395,1.61185,0,1.12179,0.0333822,0
24.2178,4253.97,13522.5,-19949.1,0,624.795,3.44614,-1.16216,241.621,2947.38,949.974,4483.08,1036.13,0,1549.94,65.901,0.0364962,2.54019e-12,0,0,-7.31397e-11,0.291598,0.338461,-1.74971e-12,977.62,640.344,1.61159,0,1.12171,0.0333795,0
24.213,15648.2,13522.2,-19989.5,0,624.766,3.44587,-1.16211,241.599,2947.35,949.953,4482.97,1036.11,0,1549.91,65.9007,0.0364873,4.28457e-12,0,0,-7.7307e-11,0.291537,0.338391,-2.59348e-12,977.62,640.293,1.61133,0,1.12162,0.0333769,0
24.2083,-58392.6,13521.9,-20029.8,0,624.736,3.4456,-1.16206,241.578,2947.32,949.931,4482.87,1036.09,0,1549.87,65.9004,0.0364783,6.00409e-12,0,0,-7.3662e-11,0.291476,0.338321,-7.95808e-13,977.62,640.241,1.61107,0,1.12153,0.0333742,0
24.2035,-33059.6,13521.6,-20070.1,0,624.707,3.44533,-1.16201,241.557,2947.29,949.91,4482.76,1036.08,0,1549.84,65.9001,0.0364694,5.25802e-12,0,0,-7.50617e-11,0.291415,0.338251,-1.1795e-12,977.62,640.19,1.61081,0,1.12145,0.0333716,0
24.1987,-117164,13521.3,-20110.5,0,624.678,3.44507,-1.16196,241.535,2947.26,949.888,4482.65,1036.06,0,1549.81,65.8997,0.0364605,7.81597e-12,0,0,-7.69802e-11,0.291354,0.338182,-1.46372e-12,977.62,640.139,1.61055,0,1.12136,0.033369,0
24.1939,-84029.2,13520.9,-20150.8,0,624.649,3.4448,-1.16191,241.514,2947.23,949.867,4482.55,1036.04,0,1549.78,65.8994,0.0364517,7.51044e-12,0,0,-7.06066e-11,0.291293,0.338112,-1.95577e-12,977.62,640.087,1.61029,0,1.12128,0.0333663,0
24.1891,-84834.2,13520.6,-20191.1,0,624.619,3.44454,-1.16186,241.492,2947.19,949.845,4482.44,1036.03,0,1549.75,65.8991,0.0364428,7.69518e-12,0,0,-7.49765e-11,0.291232,0.338043,-1.8332e-12,977.62,640.036,1.61003,0,1.12119,0.0333637,0
24.1844,-12462.1,13520.3,-20231.4,0,624.59,3.44428,-1.16182,241.471,2947.16,949.824,4482.34,1036.01,0,1549.72,65.8987,0.0364339,7.97939e-12,0,0,-7.53886e-11,0.291172,0.337974,-1.09068e-12,977.62,639.985,1.60977,0,1.12111,0.0333611,0
24.1796,-84533.6,13520,-20271.8,0,624.561,3.44402,-1.16177,241.45,2947.13,949.803,4482.23,1035.99,0,1549.69,65.8984,0.0364251,1.02105e-11,0,0,-6.78853e-11,0.291111,0.337905,-1.28253e-12,977.62,639.934,1.60951,0,1.12103,0.0333585,0
24.1748,20968.2,13519.7,-20312.1,0,624.531,3.44376,-1.16172,241.428,2947.1,949.781,4482.12,1035.97,0,1549.66,65.8981,0.0364163,1.10347e-11,0,0,-6.72742e-11,0.291051,0.337836,-1.71596e-12,977.62,639.882,1.60925,0,1.12094,0.033356,0
