Row : 1, Col : 1, Slice : 1
PPMScale,Data,Fit,Baseline,Ala,Asp,Cr,-CrCH2,GABA,Glc,Gln,Glu,GPC,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau
24.2537,-123352,34362.9,-10868.3,1218.64,1996.23,8.4862,-0.118467,161.182,7869.75,2161.16,9665.97,2327.53,0,3514.94,391.878,0.310322,4.01315e-11,0,0,3.36513e-11,4.01883e-11,-4.72937e-11,-5.57066e-11,2923.99,2118.17,1.69118,0,3.01541,0.11415,0
24.2489,-116108,34362.2,-10032.3,1218.65,1996.13,8.48551,-0.118462,161.168,7869.66,2161.11,9665.75,2327.49,0,3514.87,391.876,0.310245,4.04698e-11,0,0,6.25562e-11,4.62173e-11,-4.51648e-11,-4.74767e-11,2923.99,2118,1.6909,0,3.01517,0.11414,0
24.2441,163378,34361.4,-9196.35,1218.65,1996.04,8.48483,-0.118457,161.154,7869.58,2161.06,9665.52,2327.45,0,3514.8,391.874,0.310169,3.61524e-11,0,0,9.73372e-11,5.336e-11,-4.78764e-11,-4.63576e-11,2923.99,2117.83,1.69062,0,3.01494,0.114131,0
24.2393,-157997,34360.7,-8360.39,1218.65,1995.94,8.48415,-0.118451,161.139,7869.5,2161.01,9665.29,2327.41,0,3514.73,391.872,0.310093,3.00222e-11,0,0,1.39323e-10,6.06821e-11,-4.89209e-11,-4.24158e-11,2923.99,2117.66,1.69035,0,3.0147,0.114122,0
24.2346,66367.4,34359.9,-7524.42,1218.66,1995.85,8.48347,-0.118446,161.125,7869.42,2160.96,9665.06,2327.37,0,3514.66,391.87,0.310017,3.41558e-11,0,0,1.84144e-10,6.20979e-11,-4.32756e-11,-4.11404e-11,2923.99,2117.49,1.69007,0,3.01446,0.114112,0
24.2298,-238894,34359.2,-6688.45,1218.66,1995.76,8.4828,-0.118441,161.111,7869.34,2160.91,9664.83,2327.33,0,3514.59,391.868,0.309941,3.0937e-11,0,0,2.05404e-10,6.76579e-11,-4.80824e-11,-3.98508e-11,2923.99,2117.32,1.68979,0,3.01422,0.114103,0
24.225,295096,34358.4,-5852.48,1218.66,1995.66,8.48213,-0.118436,161.096,7869.26,2160.87,9664.6,2327.29,0,3514.52,391.866,0.309866,2.40199e-11,0,0,2.2581e-10,7.21769e-11,-4.3535e-11,-3.64722e-11,2923.98,2117.15,1.68952,0,3.01399,0.114094,0
24.2202,-139003,34357.7,-5016.51,1218.67,1995.57,8.48146,-0.118431,161.082,7869.18,2160.82,9664.37,2327.25,0,3514.45,391.864,0.30979,2.61906e-11,0,0,2.23622e-10,6.85034e-11,-3.94706e-11,-3.67848e-11,2923.98,2116.98,1.68924,0,3.01375,0.114085,0
24.2154,-53769.5,34356.9,-4180.54,1218.67,1995.48,8.48079,-0.118425,161.068,7869.09,2160.77,9664.14,2327.22,0,3514.38,391.862,0.309714,2.40021e-11,0,0,2.49742e-10,6.85887e-11,-4.78408e-11,-2.81659e-11,2923.98,2116.81,1.68897,0,3.01352,0.114075,0
24.2107,82594.5,34356.2,-3344.57,1218.67,1995.38,8.48013,-0.11842,161.054,7869.01,2160.72,9663.91,2327.18,0,3514.31,391.86,0.309639,1.89786e-11,0,0,2.89361e-10,6.73168e-11,-4.70379e-11,-2.71427e-11,2923.98,2116.64,1.68869,0,3.01329,0.114066,0
24.2059,207868,34355.5,-2508.6,1218.68,1995.29,8.47947,-0.118415,161.039,7868.93,2160.67,9663.68,2327.14,0,3514.24,391.858,0.309564,1.85167e-11,0,0,2.766e-10,6.94911e-11,-4.52616e-11,-2.22613e-11,2923.98,2116.47,1.68842,0,3.01306,0.114057,0
24.2011,-33777.9,34354.7,-1672.63,1218.68,1995.19,8.47881,-0.11841,161.025,7868.85,2160.62,9663.46,2327.1,0,3514.17,391.856,0.309489,1.77494e-11,0,0,3.19261e-10,6.74163e-11,-3.86962e-11,-3.0937e-11,2923.98,2116.3,1.68815,0,3.01283,0.114048,0
24.1963,132818,34354,-836.663,1218.68,1995.1,8.47815,-0.118405,161.011,7868.77,2160.57,9663.23,2327.06,0,3514.1,391.854,0.309414,1.61364e-11,0,0,3.19574e-10,6.21156e-11,-3.79288e-11,-1.89715e-11,2923.97,2116.13,1.68788,0,3.0126,0.114039,0
24.1915,4885.59,34353.2,-0.693732,1218.69,1995.01,8.4775,-0.1184,160.996,7868.69,2160.52,9663,2327.02,0,3514.03,391.852,0.309339,1.29035e-11,0,0,3.2145e-10,5.98419e-11,-3.64366e-11,-2.37321e-11,2923.97,2115.96,1.6876,0,3.01237,0.11403,0
24.1868,80568,34352.5,835.275,1218.69,1994.91,8.47685,-0.118395,160.982,7868.61,2160.48,9662.77,2326.98,0,3513.96,391.851,0.309264,1.64562e-11,0,0,3.13094e-10,5.92593e-11,-3.63798e-11,-1.74083e-11,2923.97,2115.79,1.68733,0,3.01214,0.114021,0
24.182,-34679.4,34351.7,1671.24,1218.69,1994.82,8.4762,-0.11839,160.968,7868.52,2160.43,9662.54,2326.95,0,3513.89,391.849,0.309189,1.21361e-11,0,0,2.96097e-10,4.87432e-11,-2.91465e-11,-8.45546e-12,2923.97,2115.62,1.68706,0,3.01191,0.114012,0
24.1772,21748,34351,2507.21,1218.7,1994.73,8.47555,-0.118386,160.954,7868.44,2160.38,9662.31,2326.91,0,3513.82,391.847,0.309115,1.08713e-11,0,0,2.71598e-10,4.81606e-11,-3.18465e-11,-1.05587e-11,2923.97,2115.45,1.68679,0,3.01169,0.114003,0
24.1724,11103.5,34350.2,3343.18,1218.7,1994.63,8.47491,-0.118381,160.939,7868.36,2160.33,9662.09,2326.87,0,3513.75,391.845,0.30904,1.17382e-11,0,0,2.76316e-10,3.88809e-11,-2.7228e-11,-8.66862e-12,2923.97,2115.28,1.68652,0,3.01146,0.113994,0
24.1676,237733,34349.5,4179.15,1218.7,1994.54,8.47427,-0.118376,160.925,7868.28,2160.28,9661.86,2326.83,0,3513.68,391.843,0.308966,9.02389e-12,0,0,2.35275e-10,4.17515e-11,-2.28795e-11,-1.14113e-11,2923.96,2115.11,1.68626,0,3.01124,0.113985,0
24.1629,-23869.1,34348.7,5015.12,1218.71,1994.45,8.47363,-0.118371,160.911,7868.2,2160.23,9661.63,2326.79,0,3513.61,391.841,0.308892,7.10543e-12,0,0,2.28852e-10,3.2685e-11,-2.79101e-11,-1.41966e-11,2923.96,2114.94,1.68599,0,3.01101,0.113977,0
24.1581,-27465.4,34348,5851.09,1218.71,1994.35,8.47299,-0.118366,160.897,7868.12,2160.18,9661.4,2326.75,0,3513.54,391.839,0.308818,6.05382e-12,0,0,1.93381e-10,2.61338e-11,-2.64606e-11,-1.08429e-11,2923.96,2114.77,1.68572,0,3.01079,0.113968,0
