Row : 1, Col : 1, Slice : 1
PPMScale,Data,Fit,Baseline,Ala,Asp,Cr,-CrCH2,GABA,Glc,Gln,Glu,GPC,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau
24.2657,187505,9115.02,2210.01,138.416,273.819,0.512073,-0.0978669,972.458,1432.64,843.043,216.601,1228.25,0.686693,1121.33,0,0,0,0,0,0,6.36646e-12,0,0.472431,0,1451.97,4.8069,314.967,4.0776,0.0838642,1110.99
24.2609,106596,9114.99,2154.53,138.416,273.819,0.512032,-0.0978624,972.458,1432.64,843.043,216.601,1228.24,0.686654,1121.33,0,0,0,0,0,0,9.7935e-12,0,0.472345,0,1451.96,4.8061,314.96,4.07727,0.0838573,1110.99
24.2561,-69062,9114.97,2099.05,138.416,273.819,0.51199,-0.0978577,972.458,1432.64,843.043,216.601,1228.23,0.686615,1121.32,0,0,0,0,0,0,9.47065e-12,0,0.472259,0,1451.95,4.80531,314.954,4.07695,0.0838504,1110.99
24.2513,137758,9114.94,2043.58,138.416,273.819,0.51195,-0.0978532,972.458,1432.64,843.044,216.601,1228.23,0.686576,1121.32,0,0,0,0,0,0,1.03633e-11,0,0.472172,0,1451.94,4.80451,314.947,4.07663,0.0838436,1110.99
24.2465,-70790.1,9114.91,1988.1,138.416,273.819,0.511909,-0.0978486,972.458,1432.64,843.044,216.601,1228.22,0.686538,1121.32,0,0,0,0,0,0,1.34452e-11,0,0.472086,0,1451.93,4.80372,314.941,4.07631,0.0838367,1110.99
24.2418,93474.4,9114.88,1932.62,138.416,273.819,0.511868,-0.0978442,972.458,1432.64,843.044,216.601,1228.21,0.686499,1121.31,0,0,0,0,0,0,1.63602e-11,0,0.472001,0,1451.92,4.80292,314.934,4.07598,0.0838299,1110.99
24.237,-186419,9114.85,1877.14,138.416,273.819,0.511827,-0.0978396,972.458,1432.64,843.044,216.601,1228.2,0.686461,1121.31,0,0,0,0,0,0,1.74296e-11,0,0.471915,0,1451.91,4.80213,314.928,4.07567,0.0838231,1110.99
24.2322,12420,9114.82,1821.66,138.416,273.819,0.511787,-0.0978352,972.458,1432.64,843.044,216.601,1228.2,0.686423,1121.31,0,0,0,0,0,0,1.93694e-11,0,0.47183,0,1451.9,4.80134,314.921,4.07535,0.0838164,1110.99
24.2274,-66955.2,9114.79,1766.18,138.416,273.819,0.511747,-0.0978307,972.458,1432.64,843.044,216.601,1228.19,0.686385,1121.3,0,0,0,0,0,0,2.02469e-11,0,0.471744,0,1451.89,4.80055,314.915,4.07503,0.0838096,1110.99
24.2226,-100817,9114.76,1710.71,138.416,273.819,0.511707,-0.0978264,972.458,1432.64,843.044,216.601,1228.18,0.686348,1121.3,0,0,0,0,0,0,2.25633e-11,0,0.471659,0,1451.88,4.79977,314.908,4.07472,0.0838029,1110.99
24.2179,-177683,9114.73,1655.23,138.416,273.819,0.511666,-0.097822,972.458,1432.64,843.044,216.601,1228.17,0.68631,1121.3,0,0,0,0,0,0,2.16573e-11,0,0.471574,0,1451.87,4.79898,314.902,4.0744,0.0837962,1110.99
24.2131,-155196,9114.7,1599.75,138.416,273.819,0.511627,-0.0978177,972.459,1432.64,843.044,216.601,1228.17,0.686273,1121.29,0,0,0,0,0,0,2.33165e-11,0,0.471489,0,1451.86,4.7982,314.895,4.07409,0.0837896,1110.99
24.2083,-55365.7,9114.67,1544.27,138.416,273.819,0.511587,-0.0978133,972.459,1432.64,843.044,216.601,1228.16,0.686236,1121.29,0,0,0,0,0,0,2.24993e-11,0,0.471405,0,1451.85,4.79742,314.889,4.07378,0.0837829,1110.99
