Row : 1, Col : 1, Slice : 1
PPMScale,Data,Fit,Baseline,Ala,Asp,Cr,-CrCH2,GABA,Glc,Gln,Glu,GPC,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau
24.1414,-119801,8091.53,10914.8,156.041,413.514,1.43099,-0.493996,558.712,899.077,1363.76,1096.02,1316.22,0.185214,800.69,0,1.62785e-11,0,0,0,0,1.49498e-11,0,0.0157135,315.017,1115.45,3.65373,50.0382,2.13876,0.0643803,0
24.1366,206013,8091.51,10931.7,156.041,413.514,1.43089,-0.493977,558.712,899.076,1363.76,1096.02,1316.21,0.185205,800.687,0,1.53619e-11,0,0,0,0,1.58664e-11,0,0.0157106,315.017,1115.44,3.65315,50.0372,2.13861,0.0643755,0
24.1318,126285,8091.49,10948.7,156.041,413.514,1.43078,-0.493958,558.713,899.076,1363.76,1096.02,1316.2,0.185195,800.685,0,1.41185e-11,0,0,0,0,1.45519e-11,0,0.0157076,315.017,1115.44,3.65257,50.0361,2.13845,0.0643707,0
24.127,124292,8091.47,10965.6,156.041,413.514,1.43068,-0.493939,558.713,899.076,1363.76,1096.02,1316.19,0.185186,800.683,0,1.57527e-11,0,0,0,0,1.4964e-11,0,0.0157047,315.017,1115.43,3.652,50.0351,2.1383,0.0643659,0
24.1222,8392.72,8091.45,10982.6,156.041,413.514,1.43057,-0.493921,558.713,899.075,1363.76,1096.02,1316.18,0.185178,800.68,0,1.75717e-11,0,0,0,0,1.41256e-11,0,0.0157018,315.017,1115.42,3.65142,50.0341,2.13815,0.0643612,0
24.1175,73665.8,8091.43,10999.6,156.041,413.514,1.43047,-0.493902,558.713,899.075,1363.76,1096.02,1316.18,0.185169,800.678,0,1.74794e-11,0,0,0,0,1.60227e-11,0,0.0156989,315.017,1115.41,3.65085,50.0331,2.138,0.0643564,0
24.1127,-80317.9,8091.41,11016.5,156.04,413.514,1.43036,-0.493884,558.713,899.075,1363.76,1096.02,1316.17,0.18516,800.676,0,1.73728e-11,0,0,0,0,1.38272e-11,0,0.015696,315.017,1115.41,3.65028,50.032,2.13784,0.0643517,0
24.1079,-53354.6,8091.39,11033.5,156.04,413.514,1.43026,-0.493866,558.713,899.074,1363.76,1096.02,1316.16,0.185151,800.673,0,1.68896e-11,0,0,0,0,1.38343e-11,0,0.015693,315.017,1115.4,3.64971,50.031,2.13769,0.064347,0
24.1031,162281,8091.37,11050.5,156.04,413.514,1.43016,-0.493848,558.713,899.074,1363.76,1096.02,1316.15,0.185142,800.671,0,1.76001e-11,0,0,0,0,1.38911e-11,0,0.0156902,315.016,1115.39,3.64914,50.03,2.13754,0.0643424,0
24.0983,-178880,8091.35,11067.4,156.04,413.514,1.43006,-0.49383,558.713,899.074,1363.76,1096.02,1316.14,0.185134,800.669,0,1.71312e-11,0,0,0,0,1.4083e-11,0,0.0156873,315.016,1115.38,3.64858,50.0289,2.13739,0.0643377,0
