Row : 1, Col : 1, Slice : 1
PPMScale,Data,Fit,Baseline,Ala,Asp,Cr,-CrCH2,GABA,Glc,Gln,Glu,GPC,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau
24.1593,-153694,24481.6,-117862,0,1376.99,9.41286,-0.116918,278.948,2903.04,375.001,9865.31,2186.58,1.6666,3246.85,261.586,1.47971,5.87477e-11,0,0,0.142416,-1.49356e-11,4.45908,4.46208,2264.46,1698.15,1.65116,0,1.27196,0.270367,0
24.1546,-119810,24481,-117071,0,1376.92,9.41216,-0.116913,278.924,2903.01,374.992,9865.07,2186.54,1.66651,3246.79,261.585,1.47936,4.69811e-11,0,0,0.142383,-2.01084e-11,4.45822,4.46126,2264.46,1698.01,1.65089,0,1.27187,0.270346,0
24.1498,-214164,24480.4,-116280,0,1376.86,9.41147,-0.116908,278.899,2902.98,374.984,9864.84,2186.5,1.66643,3246.73,261.584,1.47901,4.56737e-11,0,0,0.14235,-1.93268e-11,4.45737,4.46045,2264.46,1697.88,1.65063,0,1.27178,0.270326,0
24.145,-71593.1,24479.8,-115489,0,1376.79,9.41078,-0.116904,278.874,2902.95,374.975,9864.61,2186.47,1.66634,3246.66,261.582,1.47867,3.49019e-11,0,0,0.142317,-2.04921e-11,4.45652,4.45964,2264.46,1697.74,1.65037,0,1.27168,0.270305,0
24.1402,-288182,24479.2,-114698,0,1376.73,9.41009,-0.116899,278.85,2902.92,374.967,9864.38,2186.43,1.66626,3246.6,261.581,1.47832,2.28511e-11,0,0,0.142285,-2.23679e-11,4.45567,4.45883,2264.46,1697.6,1.65011,0,1.27159,0.270285,0
24.1354,-61312.9,24478.6,-113908,0,1376.66,9.4094,-0.116895,278.825,2902.89,374.959,9864.14,2186.4,1.66618,3246.53,261.58,1.47797,4.20641e-12,0,0,0.142252,-2.32205e-11,4.45482,4.45802,2264.46,1697.47,1.64986,0,1.2715,0.270264,0
24.1307,-308322,24478,-113117,0,1376.6,9.40872,-0.11689,278.8,2902.86,374.95,9863.91,2186.36,1.66609,3246.47,261.578,1.47763,-2.72848e-12,0,0,0.142219,-2.10747e-11,4.45397,4.45721,2264.46,1697.33,1.6496,0,1.27141,0.270244,0
24.1259,-81393.9,24477.4,-112326,0,1376.54,9.40804,-0.116886,278.776,2902.83,374.942,9863.68,2186.32,1.66601,3246.41,261.577,1.47728,-4.91696e-12,0,0,0.142186,-2.23679e-11,4.45313,4.45641,2264.46,1697.2,1.64934,0,1.27132,0.270224,0
24.1211,85588.6,24476.8,-111535,0,1376.47,9.40736,-0.116881,278.751,2902.8,374.933,9863.44,2186.29,1.66593,3246.34,261.576,1.47694,-2.02078e-11,0,0,0.142154,-2.09894e-11,4.45228,4.4556,2264.46,1697.06,1.64908,0,1.27123,0.270204,0
24.1163,-76306.3,24476.2,-110744,0,1376.41,9.40668,-0.116877,278.726,2902.77,374.925,9863.21,2186.25,1.66585,3246.28,261.574,1.4766,-4.45084e-11,0,0,0.142121,-2.18279e-11,4.45144,4.4548,2264.46,1696.92,1.64882,0,1.27114,0.270183,0
24.1115,-189082,24475.6,-109953,0,1376.34,9.40601,-0.116872,278.702,2902.74,374.917,9862.98,2186.21,1.66577,3246.21,261.573,1.47625,-4.17231e-11,0,0,0.142088,-2.06057e-11,4.4506,4.454,2264.46,1696.79,1.64857,0,1.27105,0.270163,0
