Row : 1, Col : 1, Slice : 1
PPMScale,Data,Fit,Baseline,Ala,Asp,Cr,-CrCH2,GABA,Glc,Gln,Glu,GPC,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau
24.2286,-226317,37260.2,-36999.4,0,2446.13,1.2622,0,8334.52,6852.36,7342.23,1144.38,1951.1,0.182748,2413.52,2601.63,1.32513,4.61569e-11,0,1574.02,0.53015,0.0779349,0.236794,-1.8531e-11,1973.86,611.367,4.52291,0,6.56167,0.389063,0
24.2238,-114091,37258.9,-37471.5,0,2446.01,1.2621,0,8333.78,6852.29,7342.07,1144.36,1951.07,0.182738,2413.47,2601.61,1.32481,4.45484e-11,0,1574.02,0.530025,0.0779175,0.236747,-2.05382e-11,1973.86,611.317,4.52217,0,6.56117,0.389032,0
24.219,75668.4,37257.7,-37943.6,0,2445.9,1.262,0,8333.04,6852.22,7341.9,1144.33,1951.04,0.182728,2413.42,2601.6,1.32449,4.44711e-11,0,1574.02,0.529901,0.0779001,0.2367,-1.72715e-11,1973.86,611.268,4.52143,0,6.56067,0.389,0
24.2143,-94337.4,37256.4,-38415.8,0,2445.78,1.26191,0,8332.3,6852.15,7341.73,1144.3,1951.01,0.182718,2413.38,2601.59,1.32417,4.34213e-11,0,1574.02,0.529777,0.0778828,0.236653,-1.85327e-11,1973.86,611.219,4.52069,0,6.56017,0.388968,0
24.2095,-116253,37255.2,-38887.9,0,2445.67,1.26181,0,8331.56,6852.08,7341.57,1144.28,1950.97,0.182708,2413.33,2601.57,1.32385,4.10587e-11,0,1574.02,0.529654,0.0778655,0.236607,-1.7085e-11,1973.86,611.17,4.51996,0,6.55968,0.388936,0
24.2047,-219666,37253.9,-39360,0,2445.55,1.26171,0,8330.83,6852,7341.4,1144.25,1950.94,0.182698,2413.28,2601.56,1.32354,3.92539e-11,0,1574.02,0.52953,0.0778482,0.23656,-1.749e-11,1973.86,611.121,4.51922,0,6.55919,0.388905,0
24.1999,-77915.8,37252.6,-39832.1,0,2445.44,1.26161,0,8330.09,6851.93,7341.24,1144.22,1950.91,0.182688,2413.23,2601.55,1.32322,4.22524e-11,0,1574.02,0.529407,0.077831,0.236514,-2.07336e-11,1973.86,611.071,4.51849,0,6.55869,0.388874,0
24.1951,-109843,37251.4,-40304.3,0,2445.32,1.26151,0,8329.35,6851.86,7341.07,1144.19,1950.88,0.182679,2413.18,2601.54,1.3229,3.84635e-11,0,1574.02,0.529284,0.0778137,0.236467,-1.76001e-11,1973.86,611.022,4.51776,0,6.55821,0.388842,0
24.1904,-108850,37250.1,-40776.4,0,2445.21,1.26142,0,8328.61,6851.79,7340.91,1144.17,1950.84,0.182669,2413.14,2601.52,1.32259,3.58042e-11,0,1574.02,0.529161,0.0777966,0.236421,-1.37064e-11,1973.86,610.973,4.51703,0,6.55772,0.388811,0
24.1856,-102332,37248.9,-41248.5,0,2445.09,1.26132,0,8327.88,6851.72,7340.74,1144.14,1950.81,0.182659,2413.09,2601.51,1.32227,3.48024e-11,0,1574.02,0.529038,0.0777794,0.236375,-1.81544e-11,1973.86,610.924,4.5163,0,6.55723,0.38878,0
